gx,gy,gz,avgx,avgy,avgz,minx,maxx,miny,maxy,minz,maxz,,,,,,,,,,
0.050479,0.424281,-0.910517,0.069413,1.012922,0.171751,-0.240066,0.349936,0.424281,1.59342,-0.994506,-0.712507,,,,,,,,,,
0.077458,0.345175,-0.942379,0.08529,0.973894,0.127144,-0.127754,0.349936,0.345175,1.59342,-0.994506,-0.712507,,,,,,,,,,
0.057926,0.436611,-0.861564,0.094574,0.9274,0.086327,-0.030947,0.349936,0.345175,1.59342,-0.994506,-0.712507,,,,,,,,,,
0.047916,0.526094,-0.810291,0.088915,0.868376,0.036514,-0.030947,0.349936,0.345175,1.536776,-0.967161,-0.712507,,,,,,,,,,
0.059879,0.540255,-0.803577,0.076756,0.806391,-0.017292,-0.030947,0.349936,0.345175,1.455228,-0.942379,-0.712507,,,,,,,,,,
0.065251,0.531954,-0.796741,0.062522,0.745993,-0.070408,-0.030947,0.332235,0.345175,1.22853,-0.942379,-0.712507,,,,,,,,,,
0.08698,0.458829,-0.823964,0.050259,0.695245,-0.116767,-0.030947,0.270707,0.345175,1.06873,-0.942379,-0.712507,,,,,,,,,,
0.078801,0.397424,-0.831044,0.040664,0.652084,-0.15615,-0.030947,0.178661,0.345175,0.902216,-0.942379,-0.712507,,,,,,,,,,
0.077947,0.397424,-0.832753,0.035628,0.621809,-0.183135,-0.030947,0.093451,0.345175,0.802966,-0.942379,-0.712507,,,,,,,,,,
0.075383,0.394738,-0.831655,0.034725,0.600964,-0.203894,-0.030947,0.08698,0.345175,0.802966,-0.942379,-0.712507,,,,,,,,,,
0.072453,0.389001,-0.864982,0.038094,0.585698,-0.226534,-0.030947,0.08698,0.345175,0.802966,-0.942379,-0.712507,,,,,,,,,,
0.094671,0.311237,-0.891717,0.043228,0.567326,-0.253867,-0.030947,0.094671,0.311237,0.802966,-0.942379,-0.719221,,,,,,,,,,
0.084295,0.272172,-0.884148,0.04891,0.546554,-0.282885,-0.030947,0.094671,0.272172,0.802966,-0.942379,-0.722151,,,,,,,,,,
0.071232,0.245559,-0.858512,0.054019,0.523793,-0.312464,-0.025575,0.094671,0.245559,0.757432,-0.942379,-0.738265,,,,,,,,,,
0.065128,0.297565,-0.822011,0.058555,0.505335,-0.33511,-0.009583,0.094671,0.245559,0.724348,-0.942379,-0.745102,,,,,,,,,,
0.066838,0.316242,-0.823353,0.062376,0.48875,-0.355607,0.01117,0.094671,0.245559,0.607764,-0.942379,-0.796741,,,,,,,,,,
0.070988,0.292559,-0.797351,0.064719,0.475334,-0.36862,0.01117,0.094671,0.245559,0.555637,-0.942379,-0.796741,,,,,,,,,,
0.058292,0.245804,-0.791369,0.065531,0.460654,-0.381261,0.01117,0.094671,0.245559,0.540255,-0.942379,-0.791369,,,,,,,,,,
0.076238,0.201978,-0.805408,0.067466,0.445718,-0.394818,0.01117,0.094671,0.201978,0.540255,-0.942379,-0.791369,,,,,,,,,,
0.089056,0.212721,-0.813709,0.071361,0.433242,-0.406611,0.047916,0.094671,0.201978,0.540255,-0.942379,-0.791369,,,,,,,,,,
0.099554,0.226515,-0.801013,0.073814,0.425807,-0.40857,0.047916,0.099554,0.201978,0.540255,-0.942379,-0.791369,,,,,,,,,,
0.12751,0.257645,-0.768907,0.076317,0.423933,-0.40177,0.047916,0.12751,0.201978,0.540255,-0.891717,-0.768907,,,,,,,,,,
0.177318,0.313557,-0.82787,0.082287,0.42375,-0.400269,0.047916,0.177318,0.201978,0.540255,-0.891717,-0.768907,,,,,,,,,,
0.202588,0.24385,-0.887688,0.09002,0.417372,-0.410517,0.058292,0.202588,0.201978,0.540255,-0.891717,-0.768907,,,,,,,,,,
0.228835,0.189404,-0.919673,0.098468,0.408277,-0.425417,0.058292,0.228835,0.189404,0.531954,-0.919673,-0.768907,,,,,,,,,,
0.241287,0.121284,-0.976561,0.10727,0.396545,-0.446139,0.058292,0.241287,0.121284,0.458829,-0.976561,-0.768907,,,,,,,,,,
0.228957,-0.004212,-1.062016,0.114369,0.380492,-0.474095,0.058292,0.241287,-0.004212,0.397424,-1.062016,-0.768907,,,,,,,,,,
0.181102,-0.228102,-1.12928,0.119484,0.354331,-0.515168,0.058292,0.241287,-0.228102,0.397424,-1.12928,-0.768907,,,,,,,,,,
0.17805,-0.244461,-1.129524,0.124489,0.327242,-0.557096,0.058292,0.241287,-0.244461,0.394738,-1.129524,-0.768907,,,,,,,,,,
0.144967,-0.323201,-1.167247,0.127968,0.294824,-0.606293,0.058292,0.241287,-0.323201,0.389001,-1.167247,-0.768907,,,,,,,,,,
